City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
294,achinsk,56.2694,90.4993,-15.72,94,100,2.09,RU,1710377057
295,alvaraes,-3.2208,-64.8042,24.93,97,100,1.39,BR,1710377058
296,turpan,42.9333,89.1667,10.62,37,100,1.53,CN,1710376759
297,utrik,11.2278,169.8474,26.15,75,100,11.66,MH,1710377012
298,voi,-3.3945,38.563,23.96,87,99,2.37,KE,1710377058
299,kamaishi,39.2667,141.8833,3.56,95,100,3.65,JP,1710377059
300,namibe,-15.1961,12.1522,24.04,76,100,3.23,AO,1710376833
301,kalymnos,36.95,26.9833,11.74,71,75,1.03,GR,1710377059
302,nenjiang,49.1833,125.2167,-6.28,95,100,2.01,CN,1710377059
303,kulhudhuffushi,6.6221,73.07,27.83,76,57,4.07,MV,1710377060
304,geraldton,-28.7667,114.6,28.23,57,36,7.2,AU,1710377060
305,egilsstadir,65.2653,-14.3948,-0.05,100,100,12.35,IS,1710377060
306,twon-brass,4.3151,6.2418,28.02,82,39,3.85,NG,1710377061
307,palmer,42.1584,-72.3287,11.23,52,85,2.3,US,1710376918
308,isafjordur,66.0755,-23.124,-0.59,91,100,9.78,IS,1710377031
309,pocos de caldas,-21.7878,-46.5614,23.24,67,87,1.81,BR,1710377061
310,ust'-ilimsk,58.0006,102.6619,-14.2,98,100,1.79,RU,1710377061
311,kone,-21.0595,164.8658,30.98,67,99,1.32,NC,1710376846
312,nova vicosa,-17.8919,-39.3719,23.57,93,6,0.7,BR,1710377062
313,majie,25.0333,102.6361,8.99,57,0,3.0,CN,1710377063
314,yass,-34.8333,148.9167,28.06,45,99,3.99,AU,1710377064
315,jabor,5.921,169.6434,28.13,78,100,10.48,MH,1710377064
316,aswan,24.0934,32.907,24.61,7,0,3.6,EG,1710377064
317,westport,41.1415,-73.3579,10.47,66,0,2.57,US,1710377048
318,khandyga,62.6667,135.6,-14.72,92,100,1.25,RU,1710377065
319,yaren,-0.5472,166.916,28.37,79,100,6.77,NR,1710377065
320,emkhomazi,-30.2067,30.7978,22.88,80,100,5.68,ZA,1710377065
321,fort bragg,35.139,-79.006,18.78,41,0,0.0,US,1710377065
322,inarajan village,13.2736,144.7484,29.66,82,72,8.49,GU,1710377066
323,pariaman,-0.619,100.12,23.03,72,74,1.27,ID,1710377066
324,uri,34.0833,74.0333,2.19,94,46,1.16,IN,1710377066
325,la gi,10.6667,107.7833,27.64,64,75,5.2,VN,1710377067
326,ierapetra,35.01,25.7353,12.86,76,64,0.84,GR,1710377067
327,quang ngai,15.1167,108.8,25.35,77,77,2.23,VN,1710377068
328,duong dong,10.2167,103.9667,26.0,94,40,0.51,VN,1710377069
329,mejit,10.2753,170.8646,26.38,80,100,10.97,MH,1710376961
330,tadepallegudem,16.8333,81.5,26.19,87,19,0.12,IN,1710377070
331,nurota,40.5614,65.6886,-0.75,96,100,5.18,UZ,1710377071
332,luwingu,-10.2621,29.9271,17.7,92,71,1.64,ZM,1710377071
